task_key,min_memory_mb,max_memory_mb
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 0)",134.234375,349.08203125
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 1)",105.75390625,2044.70703125
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 2)",107.40625,2084.5390625
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 3)",105.4296875,3027.796875
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 4)",106.1640625,2726.14453125
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 6)",112.28515625,1909.22265625
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 5)",107.48046875,2207.546875
"('dataframe-groupby-size-agg-4b0509f0d31460c63c01ac832b631e2e', 0)",221.0078125,221.0078125
list-baed699e-d9c3-4b14-abeb-1349194e444b,220.40234375,220.60546875
"('array-7308ffe7fad194f8e423ac6c564a9774', 0)",0,0
"('array-18a46769ae79220bbdc48e1e453bb348', 0)",0,0
"('array-6cd22210448a458e66bdf906e6a3013b', 0)",0,0
"('array-1e2cbb83d4f0b827f91f3eb4e883f675', 0)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 0)",107.5234375,392.1640625
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 0)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 0)",0,0
"('assign-c41783219566ea296833cb2a1414e64f', 0)",392.359375,454.84765625
"('drop_by_shallow_copy-a2304b71b46c5088a1a49f564b4e2095', 0)",393.33203125,393.33203125
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 0)",366.12109375,366.12109375
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 3)",181.609375,2144.79296875
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 3)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 1)",245.8359375,2264.58984375
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 1)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 3)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 2)",213.73828125,2120.73828125
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 2)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 1)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 2)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 5)",223.11328125,2089.39453125
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 5)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 6)",221.1640625,2153.1015625
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 6)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 5)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 4)",223.6953125,2370.5078125
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 6)",0,0
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 4)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 4)",0,0
"('assign-c41783219566ea296833cb2a1414e64f', 3)",1986.77734375,2851.64453125
"('assign-c41783219566ea296833cb2a1414e64f', 4)",2434.0,2560.4140625
"('assign-c41783219566ea296833cb2a1414e64f', 1)",2088.55859375,2230.6484375
"('assign-c41783219566ea296833cb2a1414e64f', 2)",2385.37109375,2795.78125
"('assign-c41783219566ea296833cb2a1414e64f', 6)",2149.98046875,2271.64453125
"('assign-c41783219566ea296833cb2a1414e64f', 5)",1914.30859375,1974.19921875
