task_key,min_memory_mb,max_memory_mb
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 0)",173.23828125,351.46875
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 3)",136.06640625,2123.42578125
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 1)",108.51953125,2454.76171875
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 6)",109.0,2013.33984375
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 4)",106.5,2126.046875
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 5)",106.23828125,2721.67578125
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 2)",136.70703125,2721.234375
"('dataframe-groupby-size-agg-4b0509f0d31460c63c01ac832b631e2e', 0)",224.2265625,2000.21875
list-7bfeaa01-c665-42d7-87fc-3d402e57bb94,219.59375,1994.703125
"('array-7308ffe7fad194f8e423ac6c564a9774', 0)",0,0
"('array-6cd22210448a458e66bdf906e6a3013b', 0)",0,0
"('array-18a46769ae79220bbdc48e1e453bb348', 0)",0,0
"('array-1e2cbb83d4f0b827f91f3eb4e883f675', 0)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 0)",110.0390625,395.2109375
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 0)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 0)",0,0
"('assign-c41783219566ea296833cb2a1414e64f', 0)",395.84765625,457.58984375
"('drop_by_shallow_copy-a2304b71b46c5088a1a49f564b4e2095', 0)",395.87109375,395.87109375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 0)",442.9140625,442.9140625
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 1)",214.04296875,2046.5
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 2)",185.50390625,2080.2421875
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 1)",1318.87890625,1318.87890625
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 2)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 1)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 2)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 6)",224.2265625,2288.90234375
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 4)",217.72265625,2358.6875
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 6)",0,0
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 4)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 6)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 5)",239.28125,2802.5703125
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 4)",0,0
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 5)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 5)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 3)",225.53125,2140.9296875
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 3)",1411.80859375,1411.80859375
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 3)",0,0
"('assign-c41783219566ea296833cb2a1414e64f', 5)",1505.89453125,2048.25390625
"('assign-c41783219566ea296833cb2a1414e64f', 4)",1400.125,2012.20703125
"('assign-c41783219566ea296833cb2a1414e64f', 1)",1319.66015625,2025.828125
"('assign-c41783219566ea296833cb2a1414e64f', 6)",1261.44921875,1996.87890625
"('assign-c41783219566ea296833cb2a1414e64f', 2)",1291.1875,2006.73046875
"('assign-c41783219566ea296833cb2a1414e64f', 3)",1313.9375,2026.953125
"('drop_by_shallow_copy-a2304b71b46c5088a1a49f564b4e2095', 5)",2226.86328125,2226.86328125
"('drop_by_shallow_copy-a2304b71b46c5088a1a49f564b4e2095', 4)",1296.19140625,1296.19140625
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 5)",0,0
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 4)",0,0
