task_key,min_memory_mb,max_memory_mb
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 0)",342.578125,342.578125
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 3)",135.984375,2201.3203125
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 1)",134.859375,2902.7421875
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 4)",132.39453125,2218.8828125
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 5)",134.39453125,2353.8125
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 2)",102.38671875,2224.0
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 6)",131.03515625,1970.078125
"('dataframe-groupby-size-agg-4b0509f0d31460c63c01ac832b631e2e', 0)",215.8828125,216.0390625
list-80821142-6bd6-4f46-8c5d-18e5ce2d48b1,109.67578125,112.421875
"('array-7308ffe7fad194f8e423ac6c564a9774', 0)",0,0
"('array-18a46769ae79220bbdc48e1e453bb348', 0)",112.421875,112.66015625
"('array-1e2cbb83d4f0b827f91f3eb4e883f675', 0)",0,0
"('array-6cd22210448a458e66bdf906e6a3013b', 0)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 0)",225.98046875,463.46875
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 0)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 0)",0,0
"('assign-c41783219566ea296833cb2a1414e64f', 0)",451.86328125,488.60546875
"('drop_by_shallow_copy-a2304b71b46c5088a1a49f564b4e2095', 0)",487.01171875,487.01171875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 0)",370.47265625,473.90625
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 1)",176.4609375,1996.90625
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 1)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 1)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 6)",216.57421875,1897.57421875
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 6)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 6)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 3)",243.2109375,2095.55859375
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 3)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 3)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 5)",216.0390625,2231.73046875
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 5)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 4)",216.36328125,2032.34375
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 4)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 5)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 4)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 2)",222.09765625,2383.3984375
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 2)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 2)",0,0
"('assign-c41783219566ea296833cb2a1414e64f', 1)",2315.2265625,2315.2265625
"('assign-c41783219566ea296833cb2a1414e64f', 6)",1458.796875,1458.796875
"('assign-c41783219566ea296833cb2a1414e64f', 4)",1737.4296875,1737.4296875
"('assign-c41783219566ea296833cb2a1414e64f', 5)",1308.0078125,1308.0078125
"('assign-c41783219566ea296833cb2a1414e64f', 3)",2092.78125,2446.2578125
"('assign-c41783219566ea296833cb2a1414e64f', 2)",1572.19921875,1572.19921875
"('drop_by_shallow_copy-a2304b71b46c5088a1a49f564b4e2095', 6)",2022.2421875,2022.2421875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 6)",0,0
"('drop_by_shallow_copy-a2304b71b46c5088a1a49f564b4e2095', 4)",0,0
"('drop_by_shallow_copy-a2304b71b46c5088a1a49f564b4e2095', 1)",1303.703125,1303.703125
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 4)",1316.02734375,1316.02734375
"('drop_by_shallow_copy-a2304b71b46c5088a1a49f564b4e2095', 5)",1321.11328125,1321.11328125
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 1)",604.671875,604.671875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 5)",0,0
"('drop_by_shallow_copy-a2304b71b46c5088a1a49f564b4e2095', 3)",1326.7734375,1326.7734375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 3)",0,0
"('drop_by_shallow_copy-a2304b71b46c5088a1a49f564b4e2095', 2)",1316.07421875,1316.07421875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 2)",608.05859375,946.421875
"('dataframe-groupby-first-agg-c178bea3285714c2f28c0cce8ddd3ca9', 0)",272.3359375,600.43359375
"('reset_index-aab8d87f6c9ec19c99a8464b60818e2c', 0)",0,0
"('getitem-bbd890544e6a01b508e429be4a4f95dd', 0)",272.3359375,272.3359375
"('map-c8119b109b0943b53a8a01b14e61645b', 0)",0,0
"('assign-973bb14c959e14ee25f0053a0fd9e306', 0)",0,0
"('assign-973bb14c959e14ee25f0053a0fd9e306-index-1d25410cf307778f79d137abd3931303', 0)",0,0
"('from-dask-array-2088c965d59f11041a327375b6b83a7c', 0)",112.66015625,113.2890625
"('assign-d389867e25312b5ea0041becb0b134e7', 0)",272.3359375,272.3359375
"('assign-d389867e25312b5ea0041becb0b134e7-index-fb886502a87fb7bb2923b9eb509215ec', 0)",0,0
"('from-dask-array-c779a3465119bfd9a86d36be5c787607', 0)",130.4140625,130.4140625
"('assign-3f77a21fd1de51b0f924b91ec94f19c6', 0)",272.3359375,272.3359375
"('assign-3f77a21fd1de51b0f924b91ec94f19c6-index-494f0d2cc0fb9250f14328e0e7cf7be5', 0)",0,0
"('from-dask-array-1ecf4dc1832bcee1871ded6a457b6a3d', 0)",130.6640625,130.6640625
"('assign-b37d495e7d78a0d2be0e668d2a034773', 0)",272.3359375,272.3359375
"('assign-b37d495e7d78a0d2be0e668d2a034773-index-04aebe162d31bb924405a5b2b8de453d', 0)",0,0
"('from-dask-array-7ed94c4aa77c19e73a68a9722a738e8d', 0)",130.6640625,130.6640625
"('assign-2483a1912a8d157ade880e67059f05f6', 0)",272.3359375,272.3359375
"('drop_by_shallow_copy-2fd7cc4442f67b116805ade6be099143', 0)",0,0
"('getitem-00c3bc50e51aeb42675626e00902c22e', 0)",0,0
"('astype-b563c4b51c8be729c6a44f15becde6c7', 0)",272.3359375,272.3359375
"('assign-8957d4ce7b8b2907cc01fab1d0ddf340', 0)",0,0
"('getitem-ce1a7c76c10d8cf986223dbfabfec30b', 0)",0,0
"('astype-b85472d8043d1de1db55008196a3e38d', 0)",0,0
"('assign-2bc38d671d3491bafaea3775a6a9324c', 0)",272.3359375,272.3359375
"('getitem-e493b5a30bfc0b493b721317dbecca51', 0)",0,0
"('astype-61a4fe91cd22af9d7274b8ac4313cd12', 0)",0,0
"('assign-28f9fe13795f35f58f8badea093e7724', 0)",0,0
"('try_loc-1e5cd7efb939cb950838adaacad5258d', 0)",272.3359375,272.3359375
"('get-categories-chunk-90e2670ae3f916c0d2337ec3f4e21eb1', 0)",0,0
"('get-categories-agg-90e2670ae3f916c0d2337ec3f4e21eb1', 0)",0,0
list-80821142-6bd6-4f46-8c5d-18e5ce2d48b1,278.29296875,278.29296875
"('array-6cd22210448a458e66bdf906e6a3013b', 0)",280.10546875,938.0625
"('array-7308ffe7fad194f8e423ac6c564a9774', 0)",314.9296875,932.05078125
"('array-1e2cbb83d4f0b827f91f3eb4e883f675', 0)",263.21484375,953.62890625
"('array-18a46769ae79220bbdc48e1e453bb348', 0)",272.5625,272.5625
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 0)",278.29296875,468.66796875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 4)",272.5625,2242.359375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 6)",280.10546875,2407.0
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 3)",130.6640625,2342.3515625
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 1)",314.9296875,2277.296875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 2)",263.21484375,2399.36328125
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 5)",308.69140625,2419.64453125
"('dataframe-groupby-first-agg-reset_index-aab8d87f6c9ec19c99a8464b60818e2c', 0)",307.45703125,307.45703125
"('reset_index-aab8d87f6c9ec19c99a8464b60818e2c', 0)",307.45703125,307.45703125
"('getitem-map-c8119b109b0943b53a8a01b14e61645b', 0)",0,0
"('map-c8119b109b0943b53a8a01b14e61645b', 0)",0,0
"('get_dummies-0bf37ea1b91af757dc9a754e74985701', 0)",307.45703125,307.45703125
"('dataframe-count-chunk-dataframe-count-agg-de3b7913004dd2b490ee9d011dfa508d', 0)",0,0
"('dataframe-sum-chunk-dataframe-sum-agg-898631712640ffe00437b621df661b85', 0)",0,0
"('dataframe-count-agg-de3b7913004dd2b490ee9d011dfa508d', 0)",0,0
"('dataframe-sum-agg-898631712640ffe00437b621df661b85', 0)",0,0
"('values-e7d6428f659ccafc3d552de24a640887', 0)",307.45703125,307.45703125
"('array-1e2cbb83d4f0b827f91f3eb4e883f675', 0)",267.98828125,267.98828125
"('array-18a46769ae79220bbdc48e1e453bb348', 0)",248.8515625,249.109375
"('array-6cd22210448a458e66bdf906e6a3013b', 0)",347.4375,347.4375
list-80821142-6bd6-4f46-8c5d-18e5ce2d48b1,312.63671875,312.63671875
"('array-7308ffe7fad194f8e423ac6c564a9774', 0)",230.62109375,356.04296875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 0)",312.63671875,491.09375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 4)",267.98828125,2383.9609375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 1)",347.4375,2821.01953125
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 6)",307.45703125,2202.80859375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 5)",305.44921875,2120.40234375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 3)",304.03515625,2822.0
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 2)",249.109375,2184.734375
"('dataframe-groupby-first-agg-c178bea3285714c2f28c0cce8ddd3ca9', 0)",2022.234375,2022.234375
