task_key,min_memory_mb,max_memory_mb
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 0)",155.58203125,179.96484375
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 6)",211.328125,2030.4140625
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 3)",93.70703125,1950.6875
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 5)",214.0703125,2780.22265625
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 1)",100.12890625,2005.78125
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 4)",195.8125,1893.9765625
"('dataframe-groupby-size-chunk-4b0509f0d31460c63c01ac832b631e2e-b9de5527e852e3280225c4924229b4d0', 2)",99.8984375,2216.625
"('dataframe-groupby-size-agg-4b0509f0d31460c63c01ac832b631e2e', 0)",212.90234375,212.90234375
list-a15380e3-4cb8-4234-b17e-daffe4e5922a,99.046875,102.078125
"('array-7308ffe7fad194f8e423ac6c564a9774', 0)",0,0
"('array-1e2cbb83d4f0b827f91f3eb4e883f675', 0)",0,0
"('array-18a46769ae79220bbdc48e1e453bb348', 0)",0,0
"('array-6cd22210448a458e66bdf906e6a3013b', 0)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 0)",215.578125,453.74609375
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 0)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 0)",0,0
"('assign-c41783219566ea296833cb2a1414e64f', 0)",441.78125,477.45703125
"('drop_by_shallow_copy-a2304b71b46c5088a1a49f564b4e2095', 0)",472.7890625,472.7890625
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 0)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 1)",242.69140625,2075.765625
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 1)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 1)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 5)",171.84375,2090.015625
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 5)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 5)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 4)",209.06640625,2039.11328125
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 4)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 4)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 6)",216.98828125,2050.03125
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 6)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 3)",212.90234375,2045.05859375
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 3)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 6)",2366.04296875,2366.04296875
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 3)",0,0
"('read-parquet-de6b3322c4d212ca033128d69ccf1378', 2)",217.35546875,2347.515625
"('getitem-418dfa4ed3f5935a351b454a42ed289c', 2)",0,0
"('to_datetime-a72e65f92db142ac18f486a9cdb29a07', 2)",0,0
"('assign-c41783219566ea296833cb2a1414e64f', 1)",2431.12109375,2688.04296875
"('assign-c41783219566ea296833cb2a1414e64f', 3)",1460.4375,1460.4375
"('assign-c41783219566ea296833cb2a1414e64f', 4)",1723.203125,2031.1796875
"('assign-c41783219566ea296833cb2a1414e64f', 6)",1570.62109375,1570.62109375
"('assign-c41783219566ea296833cb2a1414e64f', 5)",2043.90625,2325.86328125
"('assign-c41783219566ea296833cb2a1414e64f', 2)",2157.82421875,2179.359375
"('drop_by_shallow_copy-a2304b71b46c5088a1a49f564b4e2095', 1)",1320.46484375,1320.46484375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 1)",0,0
"('drop_by_shallow_copy-a2304b71b46c5088a1a49f564b4e2095', 3)",2055.8203125,2055.8203125
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 3)",0,0
"('drop_by_shallow_copy-a2304b71b46c5088a1a49f564b4e2095', 6)",2005.17578125,2005.17578125
"('drop_by_shallow_copy-a2304b71b46c5088a1a49f564b4e2095', 4)",2189.4140625,2189.4140625
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 6)",892.8515625,892.8515625
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 4)",953.3984375,953.3984375
"('drop_by_shallow_copy-a2304b71b46c5088a1a49f564b4e2095', 2)",1304.24609375,1304.24609375
